DemIndNum,DemIndAñoFRlt,DemIndAñoIni,DemIndAñoFin,DemIndBar,DemIndTasa,DemIndFPot,DemIndEtaTip,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
76,F,2017,2017,Cardones 220,0,F,EtaMes,140.855653,140.9552333,127.2670053,134.4271129,138.8937799,133.8368703,138.7521757,138.3565789,140.3229508,140.0198196,132.8390509,147.1299564
77,F,2018,2018,Cardones 220,0,F,EtaMes,146.2594519,146.3373373,131.9969693,139.6967858,144.162873,138.9200738,144.0025652,143.6039851,145.590533,145.3195237,137.8507914,152.975014
78,F,2019,2019,Cardones 220,0,F,EtaMes,152.0243762,152.0698489,136.9819289,145.3712331,149.7636916,144.3274693,149.5779399,149.1813783,151.1658266,147.5590373,139.958886,155.6269032
79,F,2020,2020,Cardones 220,0,F,EtaMes,154.6102995,154.6190875,139.0810729,148.0235109,152.2253243,146.710925,152.0161088,151.6316492,153.564371,141.875112,134.5578807,149.8731923
80,F,2021,2021,Cardones 220,0,F,EtaMes,148.849796,148.8287929,133.7137292,142.6572237,146.4868088,141.1903868,146.2689765,145.9141744,147.7053105,146.748952,139.1650732,155.2695173
81,F,2022,2022,Cardones 220,0,F,EtaMes,154.1695161,154.1158277,138.2973202,147.9053352,151.6486152,146.1745273,151.405882,151.054244,152.837546,150.7614424,142.954841,159.771849
82,F,2023,2023,Cardones 220,0,F,EtaMes,158.5982533,158.5101112,142.0684402,152.3094337,155.9293126,150.3101235,155.6619077,155.3165658,157.0767361,153.764369,145.7877915,163.2033451
83,F,2024,2024,Cardones 220,0,F,EtaMes,161.9637082,161.8419578,144.8882151,155.6920938,159.1652808,153.4387176,158.8750825,158.5382843,160.2638253,157.6571879,149.4653911,167.5650351
84,F,2025,2025,Cardones 220,0,F,EtaMes,166.2545383,166.1003354,148.5470812,159.9556957,163.314901,157.4475846,163.0012391,162.670147,164.3750588,162.7991701,154.3267256,173.2552868
85,F,2026,2026,Cardones 220,0,F,EtaMes,171.8639201,171.6757748,153.3829277,165.4881536,168.7590607,162.7043882,168.4193621,168.0914162,169.7889249,167.4981287,158.7679669,178.4742589
86,F,2027,2027,Cardones 220,0,F,EtaMes,177.0059025,176.7842643,157.8013755,170.5706027,173.7441013,167.518521,173.3792704,173.0553774,174.7408005,173.0214722,163.989705,184.5774541
87,F,2028,2028,Cardones 220,0,F,EtaMes,183.0245371,182.7673811,162.996293,176.500986,179.5874057,173.1602211,179.195208,178.874144,180.5541101,178.3561991,169.0332232,190.4707251
88,F,2029,2029,Cardones 220,0,F,EtaMes,188.8363823,188.5451174,168.0138692,182.2267383,185.2303789,178.6084497,184.8118549,184.4934299,186.1685475,179.5423985,170.1392474,191.9290621
89,F,2030,2030,Cardones 220,0,F,EtaMes,190.2589173,189.9389226,169.1241179,183.7103876,186.5635605,179.8991336,186.128445,185.8198839,187.4520727,179.4103584,169.9959211,191.9771381
90,F,2031,*,Cardones 220,0,F,EtaMes,190.2838773,189.9375702,168.9926795,183.843791,186.5264263,179.8683542,186.077978,185.7814834,187.3590461,181.566236,172.0253601,194.4625504
91,F,2017,2017,Carrera Pinto 220,0,F,EtaMes,0.477708705,0.535909561,0.490451948,0.515781254,0.505581047,0.525561678,0.540775636,0.525561688,0.540348166,0.476167625,0.553382269,0.494828512
92,F,2018,2018,Carrera Pinto 220,0,F,EtaMes,0.504513728,0.56598033,0.517972016,0.544722591,0.533950033,0.55505181,0.571119449,0.555051821,0.570667993,0.506358858,0.588469269,0.526202932
93,F,2019,2019,Carrera Pinto 220,0,F,EtaMes,0.536502236,0.601866105,0.550813841,0.579260527,0.567804939,0.590244667,0.607331068,0.590244678,0.606850987,0.527080923,0.612551594,0.547737089
94,F,2020,2020,Carrera Pinto 220,0,F,EtaMes,0.558457879,0.626496677,0.573355167,0.602965996,0.591041603,0.614399647,0.632185287,0.614399659,0.631685559,0.51716168,0.60102386,0.537429113
95,F,2021,2021,Carrera Pinto 220,0,F,EtaMes,0.547948146,0.614706509,0.56256508,0.591618656,0.579918671,0.602837135,0.620288063,0.602837146,0.61979774,0.545882272,0.634401741,0.567275258
96,F,2022,2022,Carrera Pinto 220,0,F,EtaMes,0.578378465,0.648844256,0.593807151,0.624474218,0.612124474,0.636315716,0.654735782,0.636315728,0.654218229,0.572140646,0.664918135,0.594562691
97,F,2023,2023,Carrera Pinto 220,0,F,EtaMes,0.606199992,0.680055372,0.622370838,0.654513072,0.641569272,0.666924177,0.686230296,0.666924189,0.685687848,0.594504036,0.690907939,0.617802496
98,F,2024,2024,Carrera Pinto 220,0,F,EtaMes,0.629894667,0.706636849,0.646697586,0.680096171,0.666646435,0.692992392,0.713053134,0.692992405,0.712489483,0.619672585,0.720157784,0.643957395
99,F,2025,2025,Carrera Pinto 220,0,F,EtaMes,0.656561492,0.736552584,0.674075769,0.708888296,0.69486916,0.722330483,0.743240504,0.722330496,0.74265299,0.649815922,0.75518912,0.675282041
100,F,2026,2026,Carrera Pinto 220,0,F,EtaMes,0.688499252,0.772381428,0.706865493,0.743371439,0.728670357,0.757467508,0.779394675,0.757467522,0.778778583,0.678205833,0.788182698,0.704784546
101,F,2027,2027,Carrera Pinto 220,0,F,EtaMes,0.718579205,0.806126123,0.737747852,0.775848712,0.760505352,0.790560626,0.813445773,0.790560641,0.812802764,0.710221377,0.825389835,0.73805477
102,F,2028,2028,Carrera Pinto 220,0,F,EtaMes,0.752500624,0.844180302,0.772574151,0.812473609,0.796405946,0.827880017,0.851845485,0.827880032,0.851172122,0.741076783,0.861248708,0.770119392
103,F,2029,2029,Carrera Pinto 220,0,F,EtaMes,0.785192842,0.880855523,0.806138458,0.847771339,0.831005621,0.863847075,0.888853718,0.863847091,0.888151101,0.754821374,0.877222102,0.784402629
104,F,2030,2030,Carrera Pinto 220,0,F,EtaMes,0.799755644,0.89719256,0.821089734,0.863494771,0.846418102,0.87986866,0.905339096,0.879868676,0.904623447,0.762988114,0.886713149,0.792889422
105,F,2031,*,Carrera Pinto 220,0,F,EtaMes,0.808408548,0.906899676,0.829973461,0.872837296,0.855575868,0.889388341,0.915134353,0.889388358,0.914410961,0.780175753,0.90668791,0.81075064
106,F,2017,2017,Cerro Navia 110,0,F,EtaMes,85.99043573,92.09356969,90.89141278,92.3895245,95.21510556,94.08622005,95.61833967,95.47022525,95.20796085,120.0428027,110.4567976,122.191235
107,F,2018,2018,Cerro Navia 110,0,F,EtaMes,113.2099534,117.6814855,114.5033818,116.1578393,119.5585667,116.6962058,119.6539149,119.6922364,120.4670501,123.141811,113.279603,125.2912687
108,F,2019,2019,Cerro Navia 110,0,F,EtaMes,116.0544975,120.6287714,117.3625935,119.2020408,122.6803795,119.7569391,122.785286,122.8098001,123.6275501,125.3072445,115.2701181,127.4958184
109,F,2020,2020,Cerro Navia 110,0,F,EtaMes,118.0943036,122.74836,119.4263221,121.2866135,124.8283131,121.8619395,124.9406689,124.9631618,125.7881276,127.6013474,117.3969696,129.8407355
110,F,2021,2021,Cerro Navia 110,0,F,EtaMes,120.2720327,125.0166618,121.6282818,123.5026938,127.1087251,124.112961,127.2400411,127.2627815,128.0971327,129.5585915,119.1907157,131.8379845
111,F,2022,2022,Cerro Navia 110,0,F,EtaMes,122.1151664,126.9304331,123.4991483,125.3940734,129.0617567,126.0092309,129.1789577,129.1986117,130.0432757,131.4547972,120.9414683,133.7730461
112,F,2023,2023,Cerro Navia 110,0,F,EtaMes,123.9160245,128.8053753,125.319816,127.2262208,130.9473187,127.8662645,131.0750591,131.0955072,131.9453822,133.2791662,122.6256434,135.6348507
113,F,2024,2024,Cerro Navia 110,0,F,EtaMes,125.6485643,130.6091031,127.0716316,128.9893535,132.7619349,129.6520797,132.8988527,132.9201615,133.7758275,136.5583803,125.65998,138.9851017
114,F,2025,2025,Cerro Navia 110,0,F,EtaMes,128.7739906,133.8664907,130.2292898,132.1572317,136.0210642,132.8848999,136.1878178,136.2098433,137.0621467,140.600138,129.3960136,143.1154889
115,F,2026,2026,Cerro Navia 110,0,F,EtaMes,132.6226524,137.876628,134.1202466,136.0648122,140.0434551,136.8694974,140.2378146,140.2587424,141.105253,144.6136059,133.1125234,147.2208961
116,F,2027,2027,Cerro Navia 110,0,F,EtaMes,136.4574819,141.8755863,137.9958646,139.9477813,144.0387045,140.8378029,144.266707,144.2885598,145.1255548,148.4779771,136.690697,151.1751617
117,F,2028,2028,Cerro Navia 110,0,F,EtaMes,140.1515805,145.7280107,141.7302739,143.6889517,147.888532,144.659194,148.1452539,148.1680976,148.9961397,152.4606774,140.3826391,155.2512588
118,F,2029,2029,Cerro Navia 110,0,F,EtaMes,143.9646186,149.7062232,145.5829733,147.5449481,151.8547751,148.6047891,152.148085,152.1730592,152.9894294,153.365997,141.2501162,156.2313294
